ID,Taxon,Rank
1570324,Piptolepis_ericoides_x_Eremanthus_erythropappus,species
2303950,Centaurea_emigrantis_x_Centaurea_linifolia,species
1436121,Centaurea_jacea_x_Centaurea_phrygia,species
125319,Centaurea_alba_x_Centaurea_stoebe,species
1809698,Carthamus_tinctorius_x_Carthamus_persicus,species
1664065,Carduus_acanthoides_x_Carduus_nutans,species
554173,Cousinia_chrysochlora_x_Cousinia_eryngioides,species
554174,Cousinia_shahvarica_x_Cousinia_decumbens,species
334519,Atractylodes_lancea_x_Atractylodes_chinensis,species
1268882,Senecio_doria_x_Senecio_pyrenaicus,species
2174514,Senecio_minimus_x_Senecio_glomeratus,species
1243768,Senecio_aethnensis_x_Senecio_chrysanthemifolius,species
2174513,Senecio_lautus_x_Senecio_repangae_subsp._pokohinuensis,species
1269244,Senecio_provincialis_x_Senecio_lagascanus,species
627598,Crassocephalum_crepidioides_x_Crassocephalum_rubens,species
317264,Cineraria_glandulosa_x_Cineraria_atriplicifolia,species
2020485,Petasites_japonicus_x_Petasites_pyrenaicus,species
2094118,Ligularia_vellerea_x_Ligularia_subspicata,species
1591227,Ligularia_cymbulifera_x_Ligularia_tongolensis,species
1164852,Ligularia_nelumbifolia_x_Ligularia_subspicata,species
341255,Ligularia_paradoxa_x_Ligularia_duciformis,species
2483066,Ligularia_nelumbifolia_x_Cremanthodium_stenoglossum,species
512027,Achillea_asplenifolia_x_Achillea_collina,species
512028,Achillea_setacea_x_Achillea_collina,species
2002948,Leucanthemum_ageratifolium_x_Leucanthemum_vulgare,species
2002949,Leucanthemum_legraeanum_x_Leucanthemum_vulgare,species
2002951,Leucanthemum_monspeliense_x_Leucanthemum_vulgare,species
2002950,Leucanthemum_ligusticum_x_Leucanthemum_vulgare,species
2597262,Rhodanthemum_sp._FW-2019a_x_Rhodanthemum_sp._FW-2019b,species
1938581,Leptinella_nana_x_Leptinella_minor,species
1193152,Leptinella_squalida_subsp._mediana_x_Leptinella_dioica_subsp._dioica,species
1484042,Calendula_suffruticosa_subsp._fulgida_x_Calendula_incana_subsp._maritima,species
210018,Leucogenes_leontopodium_x_Raoulia_rubra,species
2606408,Helichrysum_petiolare_x_Helichrysum_foetidum,species
1113533,Helichrysum_orientale_x_Helichrysum_stoechas,species
1452954,Argyrotegium_mackayi_x_Leucogenes_leontopodium,species
544312,Arnica_gracilis_x_Arnica_longifolia,species
980001,Bidens_menziesii_subsp._filiformis_x_Bidens_micrantha_subsp._ctenophyla,species
51287,Bidens_populifolia_x_Bidens_conjuncta,species
51285,Bidens_hillebrandiana_subsp._polycephala_x_Bidens_cosmoides,species
520112,Eupatorium_album_x_Eupatorium_hyssopifolium,species
520113,Eupatorium_album_x_Eupatorium_lancifolium,species
505275,Echinacea_paradoxa_x_Echinacea_pallida,species
505276,Echinacea_paradoxa_x_Echinacea_simulata,species
1312851,Helianthus_annuus_x_Helianthus_petiolaris,species
187455,Helianthus_annuus_x_Helianthus_argophyllus,species
193314,Helianthus_annuus_x_Helianthus_debilis_subsp._debilis,species
2584715,Helianthus_divaricatus_x_Helianthus_microcephalus,species
1117038,Sphagneticola_calendulacea_x_Sphagneticola_trilobata,species
2126673,Sanvitalia_angustifolia_x_Sanvitalia_ocymoides,species
535272,Vitis_pseudoreticulata_x_Vitis_vinifera,species
651388,Vitis_labrusca_x_Vitis_riparia,species
1239943,Vitis_labrusca_x_Vitis_vulpina,species
1197939,Vitis_mustangensis_x_Vitis_riparia,species
546105,Vitis_ficifolia_var._ganebu_x_Vitis_vinifera,species
2291730,Vitis_vinifera_x_Vitis_rotundifolia,species
2018007,Vitis_riparia_x_Vitis_cinerea,species
226013,Vitis_cinerea_x_Vitis_rupestris,species
152275,Vitis_riparia_x_Vitis_rupestris,species
651387,Vitis_rupestris_x_Vitis_vinifera,species
1197940,Vitis_aestivalis_x_Vitis_vinifera,species
1745941,Vitis_vinifera_x_Vitis_riparia,species
266788,Vitis_cinerea_x_Vitis_riparia,species
152273,Vitis_cinerea_var._helleri_x_Vitis_vinifera,species
104324,Vitis_cinerea_var._helleri_x_Vitis_rupestris,species
2599122,Vitis_x_labruscana_x_Vitis_vinifera,species
105599,Vitis_labrusca_x_Vitis_vinifera,species
152274,Vitis_cinerea_var._helleri_x_Vitis_riparia,species
1579531,Vitis_davidii_x_Vitis_vinifera,species
1501123,Vitis_x_champinii_x_Vitis_riparia,species
1417298,(Vitis_vinifera_x_Vitis_berlandieri)_x_Vitis_berlandieri,species
326438,Vitis_arizonica_x_Vitis_rupestris,species
2510619,Vitis_vinifera_x_Vitis_girdiana,species
426263,Epilobium_nummulariifolium_x_Epilobium_microphyllum,species
497759,Oenothera_biennis_x_Oenothera_glazioviana,species
2364938,Miconia_hyemalis_x_Miconia_lymanii,species
1987496,Melastoma_dodecandrum_x_Melastoma_malabathricum,species
1987495,Melastoma_dodecandrum_x_Melastoma_normale,species
2109895,Melastoma_sanguineum_x_Melastoma_dendrisetosum,species
2109894,Melastoma_candidum_x_Melastoma_penicillatum,species
2587780,Melastoma_beccarianum_x_Melastoma_malabathricum,species
2506514,Metrosideros_excelsa_x_Metrosideros_kermadecensis,species
2506515,Metrosideros_bartlettii_x_Metrosideros_robusta,species
2506516,Metrosideros_collina_x_Metrosideros_excelsa,species
2506513,Metrosideros_excelsa_x_Metrosideros_robusta,species
1629597,Eucalyptus_sabulosa_x_Eucalyptus_viminalis_subsp._cygnetensis,species
2660566,Eucalyptus_albens_x_Eucalyptus_microcarpa,species
